 Cost Rank , PLID (Masked) , Sales Coverage Code , SCMS Units,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
1,SWITCH Enterprise 48-Port UPOE,COMMERCIAL,"1,584","2,570","1,481","2,727",955,"1,216","1,576","2,347","1,244","1,888","1,374","1,990",938
1,SWITCH Enterprise 48-Port UPOE,ENTERPRISE,"6,330","7,275","2,531","4,108","2,826","2,483","3,449","3,683","3,836","5,856","4,716","3,720","2,983"
1,SWITCH Enterprise 48-Port UPOE,OTHER,"7,009","6,310","3,381","3,877","5,608","3,284","4,619","6,400","5,275","4,797","4,438","4,619","4,070"
1,SWITCH Enterprise 48-Port UPOE,PUBLIC SECTOR,"3,597","4,658","3,899","5,113","2,881","1,933","4,331","5,284","3,357","2,862","2,895","4,685","3,438"
1,SWITCH Enterprise 48-Port UPOE,SERVICE PROVIDER,"2,650",270,-779,110,58,414,"3,446",717,840,784,802,"3,512","1,670"
1,SWITCH Enterprise 48-Port UPOE,SMB,77,65,74,166,105,110,108,93,155,71,171,137,46
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,COMMERCIAL,"1,215","3,791","2,862","6,693","7,083","4,148","8,117","8,602","5,314","8,591","5,669","5,300","5,776"
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,ENTERPRISE,"2,094","3,067","8,389","7,354","4,517","12,619","4,766","7,997","10,581","6,430","14,848","9,974","7,945"
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,OTHER,"5,128","6,124","13,211","14,126","14,685","18,581","18,246","24,124","20,091","35,546","36,144","27,521","21,778"
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,PUBLIC SECTOR,"13,120","16,081","15,519","26,622","15,050","25,767","28,078","24,269","19,835","26,197","30,225","27,571","22,374"
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,SERVICE PROVIDER,53,"1,187",179,"5,608",-5,"-2,369",261,506,620,650,156,185,161
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,SMB,57,250,346,812,602,678,606,"1,454",691,683,802,944,284
3,SWITCH Core 25G/100G Fiber,COMMERCIAL,211,347,428,472,380,378,588,746,481,602,501,718,573
3,SWITCH Core 25G/100G Fiber,ENTERPRISE,"1,367","1,122",698,948,642,"1,039",927,"1,257",845,"1,237","1,477","1,360","1,300"
3,SWITCH Core 25G/100G Fiber,OTHER,"1,990","1,934","2,055","2,340","1,956","2,001","2,227","2,327","2,353","2,404","2,307","3,036","2,710"
3,SWITCH Core 25G/100G Fiber,PUBLIC SECTOR,933,"1,135","1,006","1,073",938,927,"1,539","1,241",947,"1,221","1,138","1,407","1,503"
3,SWITCH Core 25G/100G Fiber,SERVICE PROVIDER,54,88,126,133,117,162,93,135,144,129,184,161,149
3,SWITCH Core 25G/100G Fiber,SMB,54,52,82,95,57,63,75,95,98,64,94,102,111
4,SWITCH Enterprise 24-Port PoE+,COMMERCIAL,"1,288",700,856,990,675,858,877,974,724,998,731,812,754
4,SWITCH Enterprise 24-Port PoE+,ENTERPRISE,"1,789",916,"1,168","1,672","1,087",933,"1,448","1,568",954,"1,358","1,918","1,641","1,101"
4,SWITCH Enterprise 24-Port PoE+,OTHER,"5,315","5,784","3,384","5,221","5,780","4,036","4,894","4,802","3,920","3,830","3,679","4,862","3,875"
4,SWITCH Enterprise 24-Port PoE+,PUBLIC SECTOR,"2,562","3,100","2,479","3,092","3,191","2,884","3,949","2,403","2,620","2,009","2,427","2,604","2,461"
4,SWITCH Enterprise 24-Port PoE+,SERVICE PROVIDER,118,164,222,117,47,827,84,54,134,129,523,241,92
4,SWITCH Enterprise 24-Port PoE+,SMB,118,263,250,589,-319,165,96,145,108,114,158,178,150
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,COMMERCIAL,"2,840","5,029","4,356","3,563","3,464","5,114","3,132","3,480","2,839","4,414","2,837","2,433","1,409"
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,ENTERPRISE,"2,941","10,581","9,622","4,818","5,047","6,935","3,761","5,288","4,184","5,360","3,776","3,663","3,638"
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,OTHER,"43,125","51,695","31,692","36,417","27,378","30,543","35,856","35,062","38,005","40,472","28,670","29,399","27,036"
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,PUBLIC SECTOR,"11,319","14,000","10,448","15,996","10,853","9,227","6,313","14,409","5,339","7,213","9,867","6,449","9,808"
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,SERVICE PROVIDER,"5,437","1,419","10,416","-7,255","5,576",219,"1,581",-228,"1,985","1,879","6,525",-897,216
