Cost Rank,PLID Masked,MFG Book Units,,,,,,,,Big Deals,,,,,,,,Avg Deals,,,,,,,
,,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
1,SWITCH Enterprise 48-Port UPOE,9437,17530,18518,14710,16256,14395,18663,13144,350,1334,2319,914,1950,902,742,643,9087,16196,16199,13796,14306,13493,17921,12501
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,59424,60073,66952,57131,78096,87843,71494,58318,16192,6791,5507,3750,8384,31112,9042,9937,43232,53282,61445,53381,69712,56731,62452,48381
3,SWITCH Core 25G/100G Fiber,4573,5449,5801,4868,5659,5701,6784,6346,357,451,378,136,0,200,0,0,4216,4998,5423,4732,5659,5501,6784,6346
4,SWITCH Enterprise 24-Port PoE+,9704,11345,9946,8461,8436,9436,10338,8433,800,2558,0,0,911,1459,0,335,8904,8787,9946,8461,7525,7977,10338,8098
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,53108,51781,59560,53245,60281,53710,41524,43188,14871,5872,8789,10896,5581,8547,7447,7523,38237,45909,50771,42349,54700,45163,34077,35665
6,ROUTER Core Modular Chassis,0,0,305,116,555,735,1226,705,0,0,224,0,352,648,0,448,0,0,81,116,203,87,1226,257
7,SWITCH Enterprise 48-Port Fiber (Non-PoE),1646,1719,2929,2911,2196,2093,2513,3035,0,0,0,0,490,209,0,0,1646,1719,2929,2911,1706,1884,2513,3035
8,SWITCH Enterprise 25G Fiber,2232,2015,3007,2751,3018,2865,3832,3136,220,0,0,0,130,0,0,0,2012,2015,3007,2751,2888,2865,3832,3136
9,SWITCH Enterprise 24-Port UPOE,1517,2026,2214,3645,2309,2160,2963,3302,128,206,0,1108,0,0,0,403,1389,1820,2214,2537,2309,2160,2963,2899
10,ROUTER Enterprise Edge 10G/40G,378,494,517,503,545,858,532,530,0,32,0,42,0,378,0,44,378,462,517,461,545,480,532,486
11,SECURITY FIREWALL Next-Generation_2,241,232,257,164,235,307,332,252,0,0,0,0,0,0,0,0,241,232,257,164,235,307,332,252
12,WIRELESS ACCESS POINT WiFi6 (External Antenna) Outdoor,5033,4391,5388,4170,5164,4771,4356,3882,0,143,0,651,0,349,200,200,5033,4248,5388,3519,5164,4422,4156,3682
13,SWITCH Core 100G Fiber,526,715,713,929,645,562,718,546,0,260,197,0,86,0,0,37,526,455,516,929,559,562,718,509
14,WIRELESS ACCESS POINT WiFi6E (External Antenna) Outdoor,500,522,2219,3191,5183,3711,7719,5730,378,75,287,385,1249,250,1487,1732,122,447,1932,2806,3934,3461,6232,3998
15,SECURITY FIREWALL Next-Generation_1,177,315,323,157,313,355,349,326,0,0,0,0,0,24,0,0,177,315,323,157,313,331,349,326
16,SWITCH Enterprise 48-Port PoE+ with 10G Uplink,1104,1343,2007,1493,2218,2888,1773,1723,339,251,315,299,389,883,207,200,765,1092,1692,1194,1829,2005,1566,1523
17,SWITCH Enterprise 24-Port PoE+ Compact,669,825,1044,889,1221,1921,1424,1652,94,0,0,0,0,422,140,403,575,825,1044,889,1221,1499,1284,1249
18,SWITCH Data Center 25G/100G Leaf,658,628,856,731,807,716,1247,715,0,0,0,0,0,0,0,0,658,628,856,731,807,716,1247,715
19,WIRELESS ACCESS POINT WiFi6 (External Antenna) Indoor,8642,8753,8870,6977,8155,9919,9535,7261,698,2000,770,0,500,2031,2633,662,7944,6753,8100,6977,7655,7888,6902,6599
20,SWITCH Data Center 100G Spine,218,361,450,577,508,525,441,506,0,90,0,0,0,0,0,120,218,271,450,577,508,525,441,386
21,SWITCH Core 100G/400G Fiber,137,100,174,108,225,199,225,208,44,0,0,44,44,0,0,0,93,100,174,64,181,199,225,208
22,IP PHONE Enterprise Desk,40155,33754,24936,30180,24413,21567,18955,13465,0,7500,6108,0,10000,7602,0,4500,40155,26254,18828,30180,14413,13965,18955,8965
23,ROUTER Branch 4-Port PoE,5776,8541,7271,8430,7874,7845,6185,6821,2205,0,2000,4870,0,4410,2255,2639,3571,8541,5271,3560,7874,3435,3930,4182
24,SWITCH Industrial 8-Port PoE,2323,2029,2474,2580,2824,2575,2967,2165,831,469,300,765,635,260,200,222,1492,1560,2174,1815,2189,2315,2767,1943
25,IP CONFERENCE PHONE,4866,4039,3277,7708,4828,3853,4516,3747,1275,0,159,1667,750,0,725,1488,3591,4039,3118,6041,4078,3853,3791,2259
26,SWITCH Industrial 8-Port PoE Compact,1136,1183,1537,1301,1917,1357,1969,1919,354,0,346,569,700,250,0,1072,782,1183,1191,732,1217,1107,1969,847
27,SWITCH Industrial Managed,736,960,1480,2472,1881,1921,2864,2240,96,128,96,0,128,0,384,664,640,832,1384,2472,1753,1921,2480,1576
28,ROUTER Edge Aggregation Fiber,1459,1874,2058,1184,1939,580,827,943,0,1051,0,0,1359,0,200,0,1459,823,2058,1184,580,580,627,943
29,SWITCH Industrial 24-Port PoE,57,115,155,270,305,445,646,301,18,30,65,171,0,0,240,0,39,85,90,99,305,445,406,301
30,ROUTER Branch 8-Port PoE,974,1278,841,1026,1337,1634,2092,1208,480,850,395,311,0,951,805,420,494,428,446,715,1337,683,1287,788
