Cost Rank, Product Name  , Product Life Cycle ,ACTUAL UNITS,,,,,,,,,,,,Forecasted Units ,,,,,,
,,,,,,,,,,,,,,,Your Forecast FY26 Q2,Demand Planners' Forecast,Marketing Team's Forecast ,Data Science Team's Forecast,,,
,,,FY23 Q2,FY23 Q3,FY23 Q4,FY24 Q1,FY24 Q2,FY24 Q3,FY24 Q4,FY25 Q1,FY25 Q2,FY25 Q3,FY25 Q4,FY26 Q1,FY26 Q2,,,,,,
1,SWITCH Enterprise 48-Port UPOE,Sustaining,21149,10584,16105,12434,9437,17530,18518,14710,16256,14395,18663,13144,,15052,14795,17011,,,
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,Sustaining,30498,40505,61214,41932,59424,60073,66952,57131,78096,87843,71494,58318,,79000,66275,79114,,,
3,SWITCH Core 25G/100G Fiber,Sustaining,4680,4397,5065,4092,4573,5449,5801,4868,5659,5701,6784,6346,,6621,6740,7861,,,
4,SWITCH Enterprise 24-Port PoE+,Sustaining,10927,8358,11681,10461,9704,11345,9946,8461,8436,9436,10338,8433,,9200,10384,9789,,,
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,Sustaining,84349,67670,55237,53599,53108,51781,59560,53245,60281,53710,41524,43188,,35588,44460,49532,,,
6,ROUTER Core Modular Chassis,NPI-Ramp,,,,,,,305,116,555,735,1226,705,,1041,624,461,,,
7,SWITCH Enterprise 48-Port Fiber (Non-PoE),Sustaining,1714,1755,2466,3770,1646,1719,2929,2911,2196,2093,2513,3035,,2008,2329,1968,,,
8,SWITCH Enterprise 25G Fiber,Sustaining,1979,1986,2422,2269,2232,2015,3007,2751,3018,2865,3832,3136,,3035,3362,2868,,,
9,SWITCH Enterprise 24-Port UPOE,Sustaining,3434,2864,2689,4614,1517,2026,2214,3645,2309,2160,2963,3302,,2755,2894,2463,,,
10,ROUTER Enterprise Edge 10G/40G,Decline,391,440,440,352,378,494,517,503,545,858,532,530,,431,350,732,,,
11,SECURITY FIREWALL Next-Generation_2,Sustaining,151,258,444,176,241,232,257,164,235,307,332,252,,310,321,252,,,
12,WIRELESS ACCESS POINT WiFi6 (External Antenna) Outdoor,Sustaining,4688,4199,5345,4919,5033,4391,5388,4170,5164,4771,4356,3882,,4717,4934,4940,,,
13,SWITCH Core 100G Fiber,Sustaining,496,384,528,471,526,715,713,929,645,562,718,546,,700,1215,563,,,
14,WIRELESS ACCESS POINT WiFi6E (External Antenna) Outdoor,Sustaining,,,,,500,522,2219,3191,5183,3711,7719,5730,,6390,5927,9905,,,
15,SECURITY FIREWALL Next-Generation_1,Sustaining,223,241,286,195,177,315,323,157,313,355,349,326,,320,323,265,,,
16,SWITCH Enterprise 48-Port PoE+ with 10G Uplink,Sustaining,1375,2589,1641,1164,1104,1343,2007,1493,2218,2888,1773,1723,,1935,2358,2945,,,
17,SWITCH Enterprise 24-Port PoE+ Compact,Sustaining,443,517,608,641,669,825,1044,889,1221,1921,1424,1652,,1564,843,1715,,,
18,SWITCH Data Center 25G/100G Leaf,Sustaining,,,88,324,658,628,856,731,807,716,1247,715,,815,758,1014,,,
19,WIRELESS ACCESS POINT WiFi6 (External Antenna) Indoor,Sustaining,15951,10691,9108,7817,8642,8753,8870,6977,8155,9919,9535,7261,,7009,3400,9958,,,
