Cost Rank,Product Name,Product Life Cycle,FY26 Q1,Demand Planners Forecast,Marketing Team Forecast,Data Science Team Forecast,Planner Backtest FY26 Q1,Marketing Backtest FY26 Q1,Data Science Backtest FY26 Q1,Base Forecast FY26 Q2,Channel Forecast FY26 Q2,Big Deal Forecast FY26 Q2,Final Forecast FY26 Q2,FY26 Q1 Backtest Accuracy
1.0,SWITCH Enterprise 48-Port UPOE,Sustaining,13144.0,15052.0,14795.0,17011.0,15523.064,13998.359999999999,14984.160000000002,13460.51304010609,13681.169234663503,13304.285091290902,15039.0,0.8563279037285858
2.0,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,Sustaining,58318.0,79000.0,66275.0,79114.0,65024.57,83569.694,62341.941999999995,64724.94066989305,63655.26979850311,62267.98256503632,78762.0,0.9176149301325103
3.0,SWITCH Core 25G/100G Fiber,Sustaining,6346.0,6621.0,6740.0,7861.0,5800.244000000001,5241.796,4753.1539999999995,5917.7428891509435,6069.760113985294,6057.955778301886,6445.0,0.8996642711948638
4.0,SWITCH Enterprise 24-Port PoE+,Sustaining,8433.0,9200.0,10384.0,9789.0,8930.546999999999,9824.445,9647.352,8627.850410137358,8182.63270269022,8082.971000193461,9083.0,0.9858243259722002
5.0,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,Sustaining,43188.0,35588.0,44460.0,49532.0,38048.628,38566.884,35025.468,49055.459015589375,50183.10470911756,48663.65539284509,35280.0,0.9132870140812466
6.0,ROUTER Core Modular Chassis,NPI-Ramp,705.0,1041.0,624.0,461.0,709.935,645.78,1305.6599999999999,757.1,,634.3000000000001,1054.0,0.8142912443596191
7.0,SWITCH Enterprise 48-Port Fiber (Non-PoE),Sustaining,3035.0,2008.0,2329.0,1968.0,2604.0299999999997,2458.3500000000004,2516.015,2639.417976522085,2882.643129236761,2909.3859530441705,1999.0,0.8492271758166116
8.0,SWITCH Enterprise 25G Fiber,Sustaining,3136.0,3035.0,3362.0,2868.0,3085.824,3553.088,3691.072,2969.7896694502433,3010.64805578896,2986.6826722338205,3066.0,0.9369901629740067
9.0,SWITCH Enterprise 24-Port UPOE,Sustaining,3302.0,2755.0,2894.0,2463.0,3021.33,2740.66,2228.8500000000004,2796.475201934976,3055.373841784679,2991.576476544043,2753.0,0.9153540282048761
10.0,ROUTER Enterprise Edge 10G/40G,Decline,530.0,431.0,350.0,732.0,499.78999999999996,449.96999999999997,437.78000000000003,534.7744830827068,537.4224060535228,526.0954887218045,480.0,0.958832717730818
11.0,SECURITY FIREWALL Next-Generation_2,Sustaining,252.0,310.0,321.0,252.0,274.932,162.792,236.12400000000002,249.71271084337351,240.98271837098332,234.75542168674698,362.0,0.7123576553807818
12.0,WIRELESS ACCESS POINT WiFi6 (External Antenna) Outdoor,Sustaining,3882.0,4717.0,4934.0,4940.0,3847.062,4592.406,3451.098,4363.2770179063355,4386.70360607739,4182.612127045236,4714.0,0.9973066685876241
13.0,SWITCH Core 100G Fiber,Sustaining,546.0,700.0,1215.0,563.0,679.7700000000001,936.936,685.2299999999999,565.5261675951717,565.2508079979503,546.0674094707521,730.0,0.7059860280324419
14.0,WIRELESS ACCESS POINT WiFi6E (External Antenna) Outdoor,Sustaining,5730.0,6390.0,5927.0,9905.0,6801.51,5517.99,5449.23,4815.234229498639,5441.242418772546,5336.338770499658,6132.0,0.8886438641603303
15.0,SECURITY FIREWALL Next-Generation_1,Sustaining,326.0,320.0,323.0,265.0,239.936,224.28799999999998,273.84,306.10824259789877,320.3864029369563,317.8031518624642,373.0,0.8795390803129176
16.0,SWITCH Enterprise 48-Port PoE+ with 10G Uplink,Sustaining,1723.0,1935.0,2358.0,2945.0,1845.3329999999999,1938.375,1490.395,1835.9260039481103,1904.5402353454485,1861.7834860347602,1907.0,0.8874743059727264
17.0,SWITCH Enterprise 24-Port PoE+ Compact,Sustaining,1652.0,1564.0,843.0,1715.0,1303.4279999999999,695.4920000000001,1025.892,1462.713895131086,1547.8910823541905,1556.1908099688471,1595.0,0.8361503190229879
18.0,SWITCH Data Center 25G/100G Leaf,Sustaining,715.0,815.0,758.0,1014.0,785.07,723.58,913.77,739.4558333333333,708.7416937431228,681.5927826784283,867.0,0.9051416100659246
19.0,WIRELESS ACCESS POINT WiFi6 (External Antenna) Indoor,Sustaining,7261.0,7009.0,3400.0,9958.0,7333.61,5961.281,7319.088,7789.190074724698,7522.093651965935,7405.06035931614,7114.0,0.9835571483872154
20.0,SWITCH Data Center 100G Spine,Decline,506.0,400.0,303.0,494.0,449.834,337.502,535.8539999999999,468.10833333333335,524.2885377902172,496.9718820861678,458.0,0.9987631772661225
21.0,SWITCH Core 100G/400G Fiber,Sustaining,208.0,219.0,151.0,307.0,139.35999999999999,117.93599999999999,182.0,202.13177777777776,219.89566801619435,209.9568888888889,269.0,0.9073636669044808
22.0,IP PHONE Enterprise Desk,Decline,13465.0,9260.0,8703.0,20295.0,11579.9,6772.894999999999,16454.23,14300.62442671239,17154.84544647156,15852.9,9840.0,0.9020243650497137
23.0,ROUTER Branch 4-Port PoE,Decline,6821.0,6411.0,4200.0,6767.0,6602.728,3499.1729999999993,6473.129,6958.411666666667,7363.246236619105,7280.409893197475,6484.0,0.9998377206242359
24.0,SWITCH Industrial 8-Port PoE,Sustaining,2165.0,3123.0,2499.0,2323.0,3002.855,2600.165,2301.395,2356.556097910347,2317.5771663659407,2251.860689555475,3202.0,0.6110641764849725
25.0,IP CONFERENCE PHONE,Decline,3747.0,3872.0,4244.0,4009.0,3870.651,5822.838,3683.301,3475.1336879982287,4203.573626511187,4037.5208388288047,3898.0,0.9358833011221
26.0,SWITCH Industrial 8-Port PoE Compact,Sustaining,1919.0,1575.0,1575.0,1495.0,1448.845,1448.845,1661.854,1783.6211346707296,1935.959015209568,1833.6999999999998,1650.0,0.734400390685603
27.0,SWITCH Industrial Managed,Sustaining,2240.0,2221.0,2244.0,1782.0,2231.04,1581.4399999999998,1637.4400000000003,1945.6163640595903,2016.7410614525138,2083.8045161290324,2254.0,0.9830906828169077
28.0,ROUTER Edge Aggregation Fiber,Decline,943.0,700.0,200.0,456.0,749.6850000000001,599.748,897.736,1200.8666666666666,1327.5631603893119,1336.1000000000001,806.0,0.8756085043880623
29.0,SWITCH Industrial 24-Port PoE,Sustaining,301.0,423.0,366.0,474.0,422.90500000000003,245.91699999999997,493.94100000000003,294.085,292.4508823529412,286.63103448275865,472.0,0.4399070053084744
30.0,ROUTER Branch 8-Port PoE,Sustaining,1208.0,1273.0,3700.0,1722.0,1582.48,3700.1040000000003,1541.4080000000001,1253.7358333333334,1271.1326943771483,1145.4208810513157,1224.0,0.7958990931808024
